Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,WinStreak,Last10,WinStreak_Avg,WinStreak_SD
2010,Georgia Tech,ACC,2,22,0,West,10,0,5,1.5,1.769845456862398
2010,Ohio State,Big Ten,3,27,1,West,2,7,9,2.3529411764705883,1.9686118271390012
2010,California Santa Barbara,Big West,1,20,1,West,15,3,9,1.7241379310344827,1.6378402878672988
2010,Duke,ACC,7,29,1,Midwest,1,4,9,2.9705882352941178,2.2685223762674895
2010,Arkansas Pine Bluff,SWAC,1,18,1,Midwest,16,4,9,1.5,1.920286436967152
2010,California,Pac-10,2,23,0,Midwest,8,0,8,1.5454545454545454,1.4993111365882401
2010,Louisville,Big East,1,20,0,Midwest,9,0,6,1.28125,1.3746448404951732
2010,Texas Am,Big 12,2,23,0,Midwest,5,0,7,1.59375,1.3660933121496497
2010,Utah State,WAC,1,27,0,Midwest,12,0,9,5.088235294117647,5.299098963690867
2010,Purdue,Big Ten,3,27,0,Midwest,4,0,8,5.1875,4.156602428666951
2010,Siena,MAAC,1,27,1,Midwest,13,5,8,4.363636363636363,4.538175990672249
2010,Notre Dame,Big East,1,23,0,Midwest,6,0,6,1.7352941176470589,1.7030910225651088
2010,Old Dominion,CAA,2,26,1,Midwest,11,5,8,2.264705882352941,2.090719317946813
2010,Baylor,Big 12,4,25,0,Midwest,3,0,8,2.53125,2.410710152112858
2010,Sam Houston State,Southland,1,25,1,Midwest,14,3,8,2.90625,3.0450715816709466
2010,Richmond,A-10,1,26,0,Midwest,7,0,8,2.235294117647059,2.087199411671785
2010,Saint Marys Ca,WCC,3,26,1,Midwest,10,5,8,2.903225806451613,2.190225186679736
2010,Villanova,Big East,2,24,0,Midwest,2,0,4,3.7419354838709675,3.426347080845476
2010,Robert Morris,NEC,1,23,1,Midwest,15,3,7,2.0294117647058822,2.3946667963923383
2011,Ohio State,Big Ten,3,32,1,West,1,7,8,9.676470588235293,7.391253130381224
2011,Texas San Antonio,Southland,1,20,1,West,16,5,7,1.15625,1.301666599978658
2011,George Mason,CAA,2,26,0,West,8,0,9,5.25,4.873397172404482
2011,Villanova,Big East,1,21,0,West,9,0,3,2.75,3.2113081446662823
2011,West Virginia,Big East,2,20,0,West,5,0,5,1.1935483870967742,1.147770766106916
2011,Clemson,ACC,1,22,0,West,12,0,6,1.78125,2.1025932648755443
2011,Kentucky,SEC,5,25,1,West,4,6,8,2.121212121212121,1.981085954991655
2011,Princeton,Ivy,1,25,0,West,13,2,8,3.2903225806451615,2.975096077462924
2011,Xavier,A-10,1,24,0,West,6,0,9,2.838709677419355,2.616286141418273
2011,Marquette,Big East,3,20,0,West,11,0,5,1.0294117647058822,1.097732800383619
2011,Syracuse,Big East,2,26,0,West,3,0,7,5.909090909090909,5.648081660730569
2011,Indiana State,MVC,1,20,1,West,14,5,8,1.5151515151515151,1.7077579155885296
2011,Washington,Pac-10,2,23,1,West,7,3,7,1.606060606060606,1.5362171946226153
2011,Georgia,SEC,1,21,0,West,10,0,5,1.9375,2.461421083439402
2011,North Carolina,ACC,4,26,0,West,2,0,9,2.6363636363636362,2.39719762928074
2011,Long Island University,NEC,1,27,1,West,15,13,10,4.34375,3.7550746913343813
2011,Duke,ACC,3,30,1,East,1,3,8,4.852941176470588,4.284941848333372
2011,Hampton,MEAC,1,24,1,East,16,5,7,2.125,1.8833148966649205
2011,Michigan,Big Ten,2,20,0,East,8,0,7,1.5454545454545454,1.827250112931071
2011,Tennessee,SEC,1,19,0,East,9,0,4,1.3636363636363635,1.806019930394102
2011,Arizona,Pac-10,4,27,0,East,5,0,7,2.4411764705882355,2.060713418306278
2011,Memphis,CUSA,1,25,1,East,12,4,7,1.9411764705882353,1.8301587277769464
2011,Texas,Big 12,2,27,0,East,4,0,6,3.1176470588235294,3.017251436054626
2011,Oakland,Summit,1,25,1,East,13,8,9,3.0588235294117645,2.9896013551936615
