Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Year
Coastal Carolina,BSth,24,103.5,102.2,64.4,0.006,100.4,106.1,2015
Belmont,OVC,22,107.9,106.5,67.1,0.071,100.4,103.6,2015
North Dakota St.,Sum,23,101.0,100.1,61.2,0.117,100.6,104.8,2015
Robert Morris,NEC,19,101.0,102.3,65.6,0.037,100.6,104.7,2015
Lafayette,Pat,20,110.4,113.2,65.0,0.078,101.2,104.5,2015
Texas Southern,SWAC,22,101.7,104.9,63.9,0.131,99.1,104.3,2015
Hampton,MEAC,16,95.6,102.3,69.5,0.022,97.9,104.9,2015
Kansas,B12,30,118.9,92.0,69.7,0.062,109.6,99.0,2016
Virginia,ACC,26,118.3,91.9,61.4,-0.043,109.8,99.5,2016
Michigan St.,B10,29,121.3,94.8,67.4,-0.004,105.8,100.3,2016
North Carolina,ACC,28,119.5,94.0,72.0,-0.043,109.3,100.6,2016
Villanova,BE,29,117.2,93.0,67.4,0.012,107.7,100.5,2016
West Virginia,B12,26,114.8,92.4,70.5,0.008,109.4,99.5,2016
Oklahoma,B12,25,115.4,93.3,70.8,0.008,109.7,99.3,2016
Kentucky,SEC,26,122.3,98.9,67.6,-0.035,106.9,99.8,2016
Oregon,P12,28,119.4,97.4,68.7,0.035,107.0,99.3,2016
Purdue,B10,26,115.3,94.5,68.3,-0.031,107.5,101.6,2016
Wichita St.,MVC,24,108.9,89.9,67.0,-0.08,102.1,100.8,2016
Miami FL,ACC,25,117.2,97.1,66.8,0.054,109.5,100.3,2016
Indiana,B10,25,119.0,98.7,68.8,-0.003,106.5,102.3,2016
Xavier,BE,27,115.8,96.2,72.9,0.067,106.5,100.0,2016
Arizona,P12,25,116.1,96.5,69.2,-0.033,106.1,101.3,2016
Texas A&M;,SEC,26,112.6,93.7,67.5,0.002,107.7,101.1,2016
Iowa St.,B12,21,120.5,100.3,71.8,-0.07,108.0,98.4,2016
Iowa,B10,21,114.4,95.9,69.9,-0.099,108.3,101.2,2016
California,P12,23,111.3,93.8,68.8,-0.051,108.2,101.4,2016
Duke,ACC,23,119.3,100.7,68.5,-0.039,109.8,100.9,2016
Maryland,B10,25,113.8,96.3,68.0,0.006,107.3,100.5,2016
Baylor,B12,22,116.9,99.0,67.3,0.002,108.2,98.6,2016
Connecticut,Amer,24,110.4,93.7,66.3,-0.04,105.5,101.6,2016
Seton Hall,BE,25,110.7,94.0,70.3,0.008,106.1,99.9,2016
Gonzaga,WCC,26,114.6,97.8,68.0,-0.025,105.5,103.7,2016
Utah,P12,26,113.7,97.5,66.5,0.11,107.9,100.1,2016
Texas,B12,20,111.5,96.0,66.3,0.037,110.0,98.8,2016
Cincinnati,Amer,22,107.7,93.1,65.8,-0.053,105.6,101.7,2016
Wisconsin,B10,20,110.0,95.3,64.3,-0.031,108.0,100.3,2016
Stephen F. Austin,Slnd,27,110.4,95.7,68.3,0.025,101.9,107.3,2016
VCU,A10,24,108.8,95.0,69.9,-0.065,105.5,103.4,2016
Saint Joseph's,A10,27,112.9,99.2,71.3,0.034,104.9,102.2,2016
Yale,Ivy,22,108.0,95.0,66.7,0.031,104.1,105.2,2016
Notre Dame,ACC,21,117.8,103.7,65.8,0.033,108.7,101.1,2016
Butler,BE,21,115.6,101.8,68.9,-0.004,105.9,100.9,2016
Syracuse,ACC,19,109.4,96.4,65.7,-0.047,108.7,101.3,2016
Texas Tech,B12,19,113.5,100.1,66.7,0.036,108.6,99.2,2016
Pittsburgh,ACC,21,112.7,99.8,66.3,0.003,108.7,102.0,2016
Providence,BE,23,107.9,95.7,69.4,0.044,106.8,101.0,2016
Arkansas Little Rock,SB,29,108.3,96.1,64.0,0.032,102.6,104.2,2016
USC,P12,21,112.4,99.9,72.0,-0.012,107.2,100.8,2016
Dayton,A10,25,104.7,93.8,68.8,0.077,105.9,102.9,2016
Colorado,P12,22,106.6,95.5,69.8,0.026,108.0,101.8,2016
Michigan,B10,22,112.7,101.0,66.7,0.016,107.7,101.2,2016
Oregon St.,P12,19,109.3,98.4,68.2,0.052,108.5,99.7,2016
Hawaii,BW,27,107.0,96.6,71.2,0.009,100.8,104.2,2016
Iona,MAAC,22,110.4,101.2,72.2,-0.002,103.1,103.8,2016
UNC Wilmington,CAA,25,109.4,100.4,70.7,0.041,104.4,103.6,2016
Northern Iowa,MVC,22,105.7,97.2,62.9,0.017,104.0,101.1,2016
South Dakota St.,Sum,26,109.1,100.5,68.9,0.015,103.4,103.6,2016
Temple,Amer,21,105.1,97.5,66.9,0.113,106.0,101.1,2016
Stony Brook,AE,26,105.8,98.4,67.4,0.032,102.8,107.4,2016
Cal St. Bakersfield,WAC,24,102.3,95.4,68.6,-0.001,99.7,106.0,2016
Fresno St.,MWC,25,106.2,100.3,69.7,0.088,103.6,103.0,2016
Chattanooga,SC,29,105.1,99.4,67.0,0.119,104.0,106.2,2016
UNC Asheville,BSth,22,102.5,98.2,71.1,-0.045,102.9,106.4,2016
Green Bay,Horz,23,107.7,103.2,76.6,0.046,103.3,103.4,2016
Middle Tennessee,CUSA,24,102.2,99.0,68.3,0.058,103.8,105.8,2016
Buffalo,MAC,20,105.1,102.5,73.0,0.055,105.7,104.5,2016
Weber St.,BSky,26,102.6,100.0,67.9,-0.003,102.3,107.9,2016
Florida Gulf Coast,ASun,20,102.7,103.8,67.2,-0.034,103.2,108.3,2016
Austin Peay,OVC,18,104.4,108.9,70.4,0.058,104.2,106.8,2016
Hampton,MEAC,21,99.9,104.8,72.2,0.147,99.1,106.6,2016
Holy Cross,Pat,14,97.0,105.8,64.4,0.048,101.5,106.3,2016
Gonzaga,WCC,32,120.7,87.6,69.8,0.016,104.9,104.2,2017
Villanova,BE,31,122.7,92.0,63.8,0.026,110.1,100.1,2017
North Carolina,ACC,27,122.1,94.1,70.4,0.006,111.6,99.5,2017
Kentucky,SEC,29,119.2,91.9,72.5,0.008,109.4,99.6,2017
West Virginia,B12,26,116.5,89.7,69.6,-0.043,109.3,99.5,2017
Louisville,ACC,24,117.1,90.4,67.7,-0.011,111.9,99.7,2017
Virginia,ACC,22,113.7,87.0,58.6,-0.051,111.4,99.2,2017
Wichita St.,MVC,30,119.6,93.2,68.4,-0.014,104.3,103.6,2017
Florida,SEC,24,115.9,89.5,68.6,-0.046,110.1,98.5,2017
Kansas,B12,28,120.8,94.9,70.0,0.074,111.1,98.8,2017
SMU,Amer,30,120.1,94.8,63.3,0.02,104.9,101.8,2017
Duke,ACC,27,121.0,95.9,67.7,0.027,111.5,99.1,2017
Baylor,B12,25,117.3,92.3,62.8,0.002,111.3,98.5,2017
Saint Mary's,WCC,28,119.0,94.3,59.1,0.034,104.0,104.3,2017
Purdue,B10,25,116.9,92.7,68.7,-0.023,108.8,100.7,2017
Oregon,P12,29,117.7,93.9,66.5,0.036,107.8,101.4,2017
Iowa St.,B12,23,119.6,96.4,67.9,-0.01,112.1,98.4,2017
UCLA,P12,29,122.7,99.8,72.9,0.024,107.3,103.2,2017
Florida St.,ACC,25,116.7,94.0,70.5,0.023,110.9,101.2,2017
Arizona,P12,30,117.6,94.8,65.5,0.064,108.1,101.5,2017
Michigan,B10,24,121.6,99.0,62.6,-0.031,109.2,99.5,2017
Cincinnati,Amer,29,114.2,91.9,63.5,0.029,106.5,103.0,2017
Wisconsin,B10,25,113.6,91.3,63.1,-0.0,109.9,100.8,2017
Oklahoma St.,B12,20,124.8,102.7,70.0,-0.056,111.6,97.6,2017
Notre Dame,ACC,25,118.9,97.8,66.9,0.021,110.2,99.6,2017
Butler,BE,23,118.0,97.1,65.1,-0.001,110.6,99.8,2017
Creighton,BE,25,115.6,96.0,70.6,0.009,110.2,101.2,2017
Marquette,BE,19,121.0,103.4,69.7,-0.062,109.1,100.1,2017
Kansas St.,B12,20,112.0,94.5,65.9,-0.04,109.9,99.0,2017
South Carolina,SEC,22,105.5,88.5,67.9,-0.004,108.7,100.2,2017
Miami FL,ACC,21,110.4,93.4,62.8,0.03,111.0,100.9,2017
Minnesota,B10,24,109.5,93.0,69.1,0.028,108.8,100.6,2017
Vanderbilt,SEC,19,112.3,96.1,65.3,-0.035,109.9,98.7,2017
Dayton,A10,24,112.3,96.6,68.3,-0.011,105.6,102.2,2017
Rhode Island,A10,24,110.7,95.0,65.9,-0.024,106.3,102.6,2017
Arkansas,SEC,25,116.6,101.0,69.1,0.093,107.9,100.4,2017
Northwestern,B10,23,111.2,95.7,64.9,0.021,108.6,100.8,2017
Xavier,BE,21,114.8,99.5,66.9,0.03,110.8,99.7,2017
Michigan St.,B10,19,110.6,95.6,66.5,-0.012,110.2,99.5,2017
Virginia Tech,ACC,22,117.4,102.5,68.1,0.061,110.2,101.4,2017
Maryland,B10,24,113.6,98.8,66.8,0.064,107.9,100.3,2017
Middle Tennessee,CUSA,30,111.6,97.0,64.0,0.012,103.9,105.6,2017
VCU,A10,26,110.0,95.7,67.9,0.036,105.5,101.9,2017
Seton Hall,BE,21,109.8,95.9,67.0,0.071,109.9,100.2,2017
Nevada,MWC,28,114.5,101.2,69.4,0.059,104.0,103.2,2017
Princeton,Ivy,23,109.4,96.9,62.9,0.025,103.4,104.8,2017
UNC Wilmington,CAA,29,117.8,105.4,69.9,0.051,105.0,104.9,2017
USC,P12,24,112.5,100.2,68.6,0.078,108.0,103.8,2017
Vermont,AE,29,110.8,98.9,64.1,0.06,102.7,107.4,2017
East Tennessee St.,SC,27,108.0,96.5,69.8,0.002,105.3,106.7,2017
Bucknell,Pat,26,109.1,100.3,69.4,0.018,100.9,105.2,2017
New Mexico St.,WAC,28,110.0,102.7,67.3,0.057,100.1,105.9,2017
Florida Gulf Coast,ASun,26,109.5,104.5,64.9,0.051,103.6,108.6,2017
Winthrop,BSth,26,106.5,101.8,70.7,0.029,100.3,107.9,2017
Iona,MAAC,22,110.2,106.2,70.3,0.011,103.3,105.9,2017
Troy,SB,22,109.9,107.3,67.8,-0.037,102.2,105.1,2017
Kent St.,MAC,22,104.4,102.7,68.0,0.022,103.9,106.2,2017
Northern Kentucky,Horz,24,106.6,105.3,67.6,0.082,102.5,106.4,2017
Jacksonville St.,OVC,20,105.4,104.8,63.3,0.029,104.0,106.1,2017
North Dakota,BSky,22,102.9,103.2,71.0,0.047,102.3,108.9,2017
South Dakota St.,Sum,18,110.8,112.1,66.8,0.029,104.6,105.6,2017
Texas Southern,SWAC,23,103.6,107.3,68.2,0.12,99.7,108.7,2017
Mount St. Mary's,NEC,19,98.9,103.2,66.6,0.06,101.5,106.8,2017
UC Davis,BW,22,97.9,102.6,68.3,0.109,100.1,106.3,2017
Virginia,ACC,31,116.5,84.4,59.2,0.032,110.9,100.9,2018
Villanova,BE,30,127.4,96.0,68.3,-0.018,111.3,101.1,2018
Duke,ACC,26,122.6,93.5,70.0,-0.029,111.0,100.1,2018
Cincinnati,Amer,30,113.2,86.2,64.7,-0.004,107.0,103.8,2018
Purdue,B10,28,123.2,96.6,67.2,0.003,109.3,100.8,2018
Michigan St.,B10,29,120.0,93.6,67.1,0.048,109.0,102.5,2018
North Carolina,ACC,25,122.0,96.9,71.0,-0.019,112.5,98.4,2018
Gonzaga,WCC,30,119.8,95.1,69.0,-0.006,106.6,105.6,2018
Kansas,B12,27,120.9,97.7,68.4,0.06,111.7,100.2,2018
Michigan,B10,28,115.9,92.7,64.4,0.037,111.1,102.3,2018
Tennessee,SEC,25,114.8,92.7,66.2,0.04,112.2,100.5,2018
Texas Tech,B12,24,114.0,92.1,66.6,-0.021,110.4,101.1,2018
West Virginia,B12,24,119.2,97.4,69.0,-0.009,109.9,99.5,2018
Xavier,BE,28,120.7,99.0,70.4,0.109,110.3,100.7,2018
Ohio St.,B10,24,116.2,95.0,66.4,0.027,109.8,101.6,2018
Auburn,SEC,25,118.2,97.6,72.3,-0.012,109.1,101.5,2018
