feature,importance,n,p99_high,p99_low,p_value,stddev
NCG_Actual_Full_diff,-0.0012637307560938802,10.0,0.0008204483879276735,-0.0033479099001154336,0.6585476415034061,0.0020280266686046955
S16_Actual_Full_diff,-0.0013037362866301233,10.0,0.0012800136846806327,-0.003887486257940879,0.6774409585117273,0.0025141379338026047
Off_1_diff,-0.0015567059029443296,10.0,0.000586761406585866,-0.003700173212474525,0.8130921489458203,0.002085717477539751
RankDef_3_diff,-0.0015919464953701335,10.0,0.0006632307828737102,-0.003847123773613977,0.6929882579064818,0.0021944177283555856
Off_3_diff,-0.0016513468265830517,10.0,-0.0007293873726783948,-0.0025733062804877086,0.8331981185826587,0.000897119791863501
Def_2_diff,-0.0017465212837086909,10.0,-0.0008423230903613729,-0.0026507194770560086,0.8330487999854007,0.0008798370596273377
Hgt2_diff,-0.001824968359495153,10.0,-0.0006312972111020741,-0.0030186395078882315,0.8330534574248744,0.0011615109619675392
RankDE_diff,-0.0018776082674949533,10.0,-0.00025390316867873855,-0.003501313366311168,0.6659168825803664,0.0015799588302159173
DR1_diff,-0.002161596975870513,10.0,0.001972974675660705,-0.00629616862740173,0.720877599545474,0.0040231769887030195
Conf_A,-0.002791970562346039,10.0,0.0021510970538557686,-0.007735038178547847,0.8845265319002759,0.004809890253018401
ExpRank_diff,-0.0029084553813103335,10.0,-0.0009087952757290786,-0.00490811548689159,0.9923990893941296,0.0019457847632226993
OR5_diff,-0.0035724696282596444,10.0,-4.9375807845148355e-05,-0.007095563448674141,0.9877325799541,0.0034281737461446886
AdjEM_vs_Seed_diff,-0.003893925273101284,10.0,0.0009465373820952252,-0.008734387928297793,0.687772045063118,0.004710049700517537
OR2_diff,-0.004131750883685451,10.0,-0.002007540336171548,-0.006255961431199355,0.6666437523629875,0.0020669795360187264
DE_diff,-0.004221261344205359,10.0,-0.0018975344098237756,-0.006544988278586942,0.6666286590913115,0.0022611205025243977
OR2Rank_diff,-0.004237589499005341,10.0,-0.0023567746189363404,-0.006118404379074342,0.5167421158444393,0.0018301414954803089
OR4_diff,-0.004254245176788866,10.0,-0.0021398695009053875,-0.006368620852672345,0.6666489105707362,0.0020574096379578914
OR3_diff,-0.004547107570269904,10.0,-0.0018939315581521508,-0.007200283582387657,0.976127756090088,0.002581693480865872
OR3Rank_diff,-0.004731024845424892,10.0,-0.0023709284515226205,-0.007091121239327162,0.998179227563155,0.0022965100869765157
Conf Tourney_diff,-0.004999501872318165,10.0,-0.0005532139521186982,-0.009445789792517633,0.8254636112247482,0.004326494919750609
DR2_diff,-0.005481344643054689,10.0,-0.0022829568239901023,-0.008679732462119278,0.8332218958301398,0.0031122160550399957
Bench_diff,-0.005490614289719319,10.0,-0.0038807219634675524,-0.007100506615971087,0.5821826947061862,0.0015665182048222581
DR2Rank_diff,-0.00597468873276977,10.0,-0.0033858583597994748,-0.008563519105740063,0.8332755544316021,0.0025190814580108387
OR5Rank_diff,-0.007010894032899805,10.0,-0.003188341891083295,-0.010833446174716316,0.9929049582333809,0.0037195639866050363
BenchRank_diff,-0.0070987221857127325,10.0,-0.004908301886358663,-0.009289142485066801,0.7820637157720526,0.0021314054481763847
