,importance,n,p99_high,p99_low,p_value,stddev
E8_Actual_6,0.0008206845238095599,5.0,0.005759519782160118,-0.0041181507345409984,0.34290093290962154,0.002398641139197107
S16_RankDE_Avg,0.0008033854166667205,5.0,0.001995018176830418,-0.0003882473434969769,0.55563506306263,0.0005787395634448113
R32_RankOff_3_Avg,0.0007671130952381293,5.0,0.0020889705233670193,-0.0005547443328907604,0.043934174755807805,0.0006419856993412159
DR3,0.0007111235119047951,5.0,0.002017184727369359,-0.0005949377035597692,0.0604249315878719,0.0006343139622699916
S16_DR4_Avg,0.0007027529761905201,5.0,0.0021852201002778918,-0.0007797141478968513,0.3201824562046255,0.0007199889134449023
Pts2Rank_Seed_Avg,0.0007001488095238409,5.0,0.0019355959578800184,-0.0005352983388323365,0.182236588739127,0.0006000188709150374
DR3_Seed_Avg,0.0006476934523809672,5.0,0.0016086128639225157,-0.0003132259591605815,0.33298274708290065,0.0004666891506614882
E8_AdjDE_Avg,0.0006354166666666809,5.0,0.0016780726153195148,-0.000407239281986153,0.3553630662150882,0.0005063860853100267
S16_DR3_Avg,0.0006238839285714744,5.0,0.0014161646507507774,-0.00016839679360782856,0.35014863326683593,0.0003847865001771192
S16_Bench_Avg,0.0006045386904762084,5.0,0.0026929810883711824,-0.001483903707418765,0.2853010383158618,0.0010142925589519166
E8_Pts1_Avg,0.0005792410714286008,5.0,0.0023719535163134876,-0.0012134713734562861,0.3575906171466618,0.0008706655711548534
S16_Actual_Full,0.00057831101190479,5.0,0.004893827816006342,-0.003737205792196762,0.516298866934839,0.002095914441712213
Hgt4Rank,0.000568824404761914,5.0,0.0023342221355476507,-0.001196573326023823,0.2878460095374041,0.0008573996504435173
S16_RankOE_Avg,0.0005491071428571637,5.0,0.0015406416924699413,-0.0004424274067556142,0.06357825157974573,0.00048155798629144513
AdjEM_Seed_Avg,0.0005375744047619351,5.0,0.002493463589963382,-0.001418314780439512,0.44219252060420705,0.0009499155201426442
R32_RankDef_1_Avg,0.0005107886904762048,5.0,0.002101029273816527,-0.0010794518928641174,0.10334944348483954,0.0007723311843559685
Wins,0.0005098586309523941,5.0,0.005212527918052809,-0.00419281065614802,0.4354015189372476,0.002283942554472857
E8_OE_Avg,0.0005022321428571694,5.0,0.0016304160852191375,-0.0006259517995047989,0.2652470637555793,0.0005479244143961919
E8_AdjOE_Avg,0.0004960937500000299,5.0,0.0018087414996856004,-0.0008165539996855409,0.10261063652102496,0.0006375128403699493
AdjDE_Seed_Avg,0.0004867931547619664,5.0,0.0019243315897877376,-0.0009507452802638049,0.2916019814823283,0.0006981684241440826
E8_DR1Rank_Avg,0.00048158482142861557,5.0,0.002227113879793184,-0.0012639442369359528,0.20862874395783346,0.0008477500443000311
E8_Hgt5Rank_Avg,0.0004786086309524226,5.0,0.0015774222707402978,-0.0006202050088354527,0.3993486344327244,0.000533660157270836
E8_Def_2_Avg,0.0004761904761905115,5.0,0.0008907132668829015,6.166768549812139e-05,0.07048902753396359,0.00020132103357940832
R32_Hgt5Rank_Avg,0.0004743303571428899,5.0,0.001713786023043259,-0.000765125308757479,0.46400698027053194,0.0006019656852114718
DR1Rank,0.00047377232142861524,5.0,0.001640203106015731,-0.0006926584631585005,0.24204944104795878,0.0005664997351766341
OR2_Seed_Avg,0.00046670386904765026,5.0,0.0015139738345795325,-0.000580566096484232,0.20366718373803253,0.0005086269721029852
E8_Hgt5_Avg,0.00045740327380954237,5.0,0.0016479432781172753,-0.0007331367304981906,0.09513570040223827,0.000578208845367754
RankDef_1,0.0004495907738095866,5.0,0.001363781987108692,-0.0004646004394895185,0.3427798265824134,0.0004439946948228628
OR4,0.00044847470238099275,5.0,0.0014010077895391189,-0.0005040583847771332,0.5489345399338729,0.000462616169559574
R32_DR5_Avg,0.0004356398809523875,5.0,0.0011050872320379785,-0.00023380747013320333,0.042697550476971186,0.0003251300909714309
E8_DR2Rank_Avg,0.00040141369047620826,5.0,0.001341393762699301,-0.0005385663817468846,0.5403227005115782,0.00045651955437217415
Size_Seed_Avg,0.0003941592261905195,5.0,0.002169647863835651,-0.0013813294114546116,0.237727439077389,0.0008623004950877732
Hgt5_Seed_Avg,0.0003859747023810053,5.0,0.0013739579742326842,-0.0006020085694706735,0.2850116504736579,0.00047983323936450823
Hgt1,0.0003859747023809831,5.0,0.0014829704067634874,-0.0007110210020015211,0.23805737695409457,0.0005327772416796845
S16_Hgt5Rank_Avg,0.00038485863095240417,5.0,0.003198820230330716,-0.0024291029684259074,0.4614103942319654,0.0013666550316650823
E8_OR3Rank_Avg,0.0003813244047619513,5.0,0.0010129009242274376,-0.0002502521147035351,0.18694956958536738,0.00030673738703460696
E8_RankAdjDE_Avg,0.0003716517857142998,5.0,0.0019315062085881486,-0.0011882026371595493,0.41255590289180977,0.000757573556141119
E8_RankDef_1_Avg,0.0003580729166667036,5.0,0.0012040167796791843,-0.000487870946345777,0.3687518112377081,0.00041084904539835367
DR4Rank_Seed_Avg,0.00035398065476193173,5.0,0.0009214909643581296,-0.0002135296548342662,0.33818222856824437,0.00027562238955314945
Conf Tourney,0.00034393601190480335,5.0,0.002419850003723112,-0.0017319779799135054,0.2651233286379487,0.0010082078955339082
RankDef_3_Seed_Avg,0.00033463541666668055,5.0,0.002110763365817001,-0.0014414925324836396,0.2012578338857627,0.0008626109891206559
R32_Hgt5_Avg,0.00033407738095242814,5.0,0.0015131265902096963,-0.0008449718283048401,0.30138794560247767,0.0005726281178706128
S16_RankDef_3_Avg,0.0003255208333333777,5.0,0.0016488558419259682,-0.0009978141752592128,0.32766508583439474,0.0006427033149532601
R32_RankOff_1_Avg,0.0003208705357143164,5.0,0.0020202547810067345,-0.0013785137095781016,0.40292111560564353,0.0008253389207849727
R32_Hgt4Rank_Avg,0.00031956845238097686,5.0,0.0011920697439437718,-0.0005529328391818182,0.5992295135493336,0.00042374717569422965
E8_ExpRank_Avg,0.0003076636904762268,5.0,0.0017443447146930557,-0.0011290173337406022,0.5735222360173526,0.0006977520059539751
DR3Rank,0.00030580357142861265,5.0,0.0018265369354952472,-0.0012149297926380219,0.391552241087832,0.0007385736551208787
Pts3Rank_Seed_Avg,0.000304315476190505,5.0,0.0015223621783578467,-0.0009137312259768367,0.4042069300686204,0.0005915680067161643
Pts5Rank_Seed_Avg,0.00030412946428577393,5.0,0.0011458506101599969,-0.0005375916815884489,0.10500309959594457,0.0004087982009143446
DR2,0.0003041294642857517,5.0,0.0014391542120701928,-0.0008308952834986894,0.21793215996802476,0.0005512467842371058
R32_Actual_Full,0.0003026413690476515,5.0,0.0021591977179328792,-0.0015539149798375763,0.3711427853002894,0.0009016726014791067
R32_OR3Rank_Avg,0.0002966889880952728,5.0,0.0014757860732490943,-0.0008824080970585487,0.6161557765997729,0.0005726513697283974
OR1Rank_Seed_Avg,0.0002929687500000296,5.0,0.000940876654399704,-0.000354939154399645,0.37467539747136147,0.0003146690408991439
DR4_Seed_Avg,0.0002929687500000296,5.0,0.0009175909455236263,-0.0003316534455235671,0.3367397603297053,0.00030335988472287955
Region,0.0002912946428571688,5.0,0.00182884782246557,-0.0012462585367512327,0.3308093762968943,0.0007467425247838167
HgtEff,0.00028831845238099044,5.0,0.0011896523546636778,-0.0006130154499016968,0.23853842097942554,0.0004377502923412681
S16_Off_2_Avg,0.000282924107142879,5.0,0.001514648347659302,-0.0009488001333735437,0.669007140045531,0.0005982107685113834
R32_Pts1Rank_Avg,0.0002780877976190643,5.0,0.0015671024243650636,-0.001010926829126935,0.17691348261179293,0.000626034955815142
E8_RankTempo_Avg,0.0002773437500000364,5.0,0.00183912877728272,-0.0012844412772826472,0.31186468973198206,0.0007585111916191836
E8_DR5Rank_Avg,0.0002730654761905112,5.0,0.0015725430741645268,-0.001026412121783504,0.45799037198059506,0.0006311165007367552
Def_2_Seed_Avg,0.00026729910714287837,5.0,0.0013082548998878429,-0.000773656685602086,0.4601804888370002,0.0005055603716163437
E8_Hgt2Rank_Avg,0.00025744047619051064,5.0,0.002029830506417227,-0.0015149495540362058,0.2290236343037928,0.0008607955962929686
OR3_Seed_Avg,0.0002531622023809336,5.0,0.001052850225492977,-0.0005465258207311101,0.31120418531422245,0.0003883839995506089
S16_DR3Rank_Avg,0.0002509300595238647,5.0,0.0007664442611320167,-0.0002645841420842873,0.3743277753210322,0.00025036947116770903
Hgt5Rank,0.0002464657738095566,5.0,0.0019084685973041239,-0.001415537049685011,0.3793676611830441,0.0008071839082211503
Tempo,0.00024516369047623924,5.0,0.001496888799523962,-0.0010065614185714835,0.3620876675529632,0.0006079245782598929
E8_AdjTempo_Avg,0.00023716517857144868,5.0,0.0011239860650677622,-0.0006496557079248647,0.3976172537941837,0.0004307017647233132
S16_Hgt2Rank_Avg,0.0002358630952381313,5.0,0.00140652644673626,-0.0009348002562599972,0.29396612105982267,0.0005685553633938326
OR3,0.0002325148809524021,5.0,0.0006866906195710417,-0.00022166085766623736,0.19397710921919267,0.00022057925686708036
E8_DR3Rank_Avg,0.00022860863095239826,5.0,0.002084858109130821,-0.0016276408472260242,0.27080480882863717,0.000901523563768138
BenchRank,0.0002278645833333629,5.0,0.0018765998776447933,-0.0014208707109780673,0.3495443996399901,0.0008007402753301031
RankDef_1_Seed_Avg,0.00022619047619053904,5.0,0.001381006251432824,-0.0009286252990517459,0.18862655897849834,0.0005608586805981151
R32_Bench_Avg,0.00022172619047622358,5.0,0.0011775505615071835,-0.0007340981805547363,0.2818089218742415,0.0004642146454117109
E8_RankAdjOE_Avg,0.00021391369047621585,5.0,0.0014980278444782032,-0.0010702004635257713,0.3272248544776815,0.0006236549461751308
Pts2_Seed_Avg,0.00019717261904764378,5.0,0.0012551617057008967,-0.0008608164676056091,0.16385727226792426,0.0005138329211887101
E8_HgtEffRank_Avg,0.0001953125000000222,5.0,0.0015685700351415737,-0.0011779450351415291,0.39975271216000596,0.000666949158292645
Pts2,0.00019066220238096826,5.0,0.0011626847794054063,-0.0007813603746434698,0.32787091471558166,0.0004720816183404904
Hgt3Rank,0.00018880208333337626,5.0,0.0008538956970984866,-0.0004762915304317342,0.31891699561817605,0.0003230156139945961
R32_DR3Rank_Avg,0.00018340773809525,5.0,0.0025330887466877006,-0.002166273270497201,0.31429130498032376,0.00114116815734451
DR3Rank_Seed_Avg,0.00018247767857144663,5.0,0.001285935567791195,-0.0009209802106483018,0.6377355799885341,0.0005359157270894786
