Feature,Importance,SHAP
NCG_DR4Rank_Avg,0.0033212860618374576,1.3106003279828052e-05
R32_RankDef_1_Avg,0.0033075321726503256,-3.768824834314854e-05
R32_Hgt2Rank_Avg,0.003294435515475892,-8.559574596981558e-06
F4_OR2Rank_Avg,0.003285222399495446,2.2860111545053016e-06
Conf Tourney,0.003264749631251974,6.29705021257218e-06
R32_AdjOE_Avg,0.0032481235327794385,-1.6847676541930547e-05
F4_Pts1Rank_Avg,0.003235358878008633,-1.9200557508805627e-05
NCG_OR2Rank_Avg,0.0032131787412910348,1.2582531299666598e-06
Pts1Rank,0.0032033125950859014,-6.620579150541379e-05
Pts5_Seed_Avg,0.0031704945711499032,-1.9602476202382932e-05
Winner_OR5Rank_Avg,0.003170136154659405,-1.8474250347067751e-06
Hgt4Rank,0.0031629256215360882,-3.73701848739628e-05
F4_OR3Rank_Avg,0.0031315652408852044,-7.628950893389879e-06
R32_BenchRank_Avg,0.0031256545751638066,1.409707010039672e-06
R32_RankTempo_Avg,0.003103359349305044,-2.4072304245374248e-05
S16_AdjDE_Avg,0.003078997178282929,-5.661381622295282e-06
R32_RankAdjOE_Avg,0.0030467623250482133,-1.4456718891640554e-05
F4_RankOff_3_Avg,0.003036593607301497,-1.3308423069023164e-05
NCG_HgtEffRank_Avg,0.0030313664127673695,-7.639342182161573e-07
E8_RankAdjTempo_Avg,0.0030295297923928076,-1.566523459110529e-05
F4_Actual_6,0.0030293630188434157,-4.484165204068409e-05
F4_OR5Rank_Avg,0.0029794205171208136,-1.2717724031299228e-06
F4_Actual_Full,0.0029684936476008527,-1.12670627035646e-05
Winner_Pts4Rank_Avg,0.0029607918890537013,-7.1302220040826955e-06
NCG_Pts1Rank_Avg,0.0029601510800644497,-1.84336471617504e-05
E8_OR1Rank_Avg,0.002933579207411857,2.8236082100742275e-06
S16_OE_Avg,0.0028952982064057208,-1.867831324671842e-05
E8_DR2Rank_Avg,0.0028920863593448155,-1.7880069911700498e-05
S16_OR1Rank_Avg,0.002884084623116741,-2.1599924317959897e-06
RankTempo,0.002883247217920798,-3.7759219375336495e-05
NCG_RankOff_3_Avg,0.002865251990416392,-1.356477582041037e-05
Winner_AdjDE_Avg,0.0028596773918808556,-6.524976260810959e-06
E8_DR1Rank_Avg,0.002850920243783359,-8.701840363411723e-06
F4_Hgt2Rank_Avg,0.0028318076030440058,6.275755885242294e-06
E8_Def_1_Avg,0.0028271385952900914,-2.5987486133628775e-05
Winner_Def_1_Avg,0.0028269075740471484,-2.8904616507369505e-05
NCG_Actual_Full,0.002819689560242466,-9.641002553185907e-06
S16_RankTempo_Avg,0.0028075968831300325,-1.4487703260446719e-05
NCG_AdjDE_Avg,0.002788678293202232,-3.405464410649413e-06
Conf_Big East,0.0027549089585800243,-9.704892138797656e-05
E8_RankDef_1_Avg,0.002748624481077529,-1.7258493405486478e-05
Winner_HgtEffRank_Avg,0.002719724299405971,3.250864591624576e-07
E8_Hgt2Rank_Avg,0.0027164031651455154,1.8733758448034855e-06
DR5Rank,0.0027138119507489093,-3.081139831714066e-05
E8_AdjDE_Avg,0.0027053011505089077,-3.209417294441769e-06
S16_Hgt5Rank_Avg,0.0027027939787283334,-2.7280254213784193e-06
Winner_OR2Rank_Avg,0.002642276609957373,3.1564685822088156e-06
NCG_DR3Rank_Avg,0.0026322583601083613,-1.020390827161975e-05
NCG_Actual_12,0.0025963762549035783,-1.7658885464370486e-05
R32_OR5Rank_Avg,0.002584687653742052,-1.5765116121173565e-05
S16_Pts5Rank_Avg,0.0025827652753932927,-3.1271478094202408e-06
S16_OR2Rank_Avg,0.002564430337267989,2.6487705432248935e-06
E8_Actual_Full,0.0025535443547816047,4.945484872238029e-06
NCG_RankDE_Avg,0.002551101380618029,6.256499303188028e-06
DE,0.0025447983989078616,-0.0001790781277417516
R32_Actual_Full,0.0025422431662185264,5.0328384687829595e-05
R32_Hgt3Rank_Avg,0.0025314967831139836,-3.2772325268388144e-06
F4_ExpRank_Avg,0.002524943741995539,-6.2384105296075994e-06
NCG_Pts5_Avg,0.0025079233087149863,-6.2017568789625286e-06
S16_DR2Rank_Avg,0.002498917686789674,-1.4805332483946772e-05
F4_AdjDE_Avg,0.0024767221726641124,-6.317906180841385e-06
Pts5Rank,0.002472888789743348,-4.884071227394092e-06
NCG_RankTempo_Avg,0.00241335298074356,-1.0111185095893389e-05
NCG_Hgt5Rank_Avg,0.0024118320583599384,7.938607866371335e-07
NCG_Exp_Avg,0.0023859397784859043,-9.337483681158889e-06
Winner_DR3Rank_Avg,0.0023746465210037924,-1.0069124040693686e-05
Winner_Pts1Rank_Avg,0.002362624892003519,-1.0260942597351963e-05
F4_Pts5Rank_Avg,0.0023232952171621936,-3.4485612931591126e-06
R32_Hgt4Rank_Avg,0.0023206090036393184,-4.9531742629702876e-06
DR2Rank,0.0023139068917790062,-1.0077590130723261e-05
E8_DR4Rank_Avg,0.002313731304203186,9.621690274684905e-06
R32_AdjDE_Avg,0.002305621279962201,-8.454057498791193e-07
NCG_DR5Rank_Avg,0.0022928941346328775,-5.460724032247214e-06
F4_Pts3Rank_Avg,0.0022875151910614006,-1.3859804235140232e-05
S16_RankOE_Avg,0.0022828974893063405,-1.3992852859088106e-05
R32_DR1Rank_Avg,0.002279028829962825,-2.161198691881654e-07
E8_RankTempo_Avg,0.0022765557190694897,8.726048937346552e-06
DR4Rank_Seed_Avg,0.002272047955981706,6.055554118221384e-06
Winner_RankOff_1_Avg,0.0022686801559908703,-4.262367835377005e-06
E8_Hgt3Rank_Avg,0.0022619109525636566,1.1865916868686864e-06
DE_Seed_Avg,0.002253442805633066,-1.496801599579814e-06
E8_Hgt5Rank_Avg,0.0022499977708567527,3.317772931855968e-06
Def_1_Seed_Avg,0.0022206667527692723,-1.4654574462408504e-06
S16_RankDef_1_Avg,0.0022177522490295894,-1.7936302772454924e-05
S16_Def_1_Avg,0.0022163318113046834,-2.3634601154100936e-05
E8_Hgt2_Avg,0.0022131133447518834,3.7822533193520302e-06
RankOff_3,0.0021953294784645264,2.4591829619999037e-05
F4_Hgt5Rank_Avg,0.0021829959231232402,4.577262767070866e-07
RankDef_2_Seed_Avg,0.0021801219993168334,8.786803761043926e-06
R32_SizeRank_Avg,0.002176170231027306,5.681953905146622e-07
Winner_Hgt2_Avg,0.002174559533856464,2.5763465742684705e-06
Winner_DE_Avg,0.0021706512890151005,-9.67273984434117e-06
F4_Exp_Avg,0.0021535716823986137,-8.359720972877513e-06
NCG_DE_Avg,0.0021500071266071933,-1.0598537527781323e-05
E8_RankDef_3_Avg,0.0021396356916442627,2.1347748681822058e-05
Pts5,0.002112878401144223,-2.2123343129076298e-05
R32_HgtEffRank_Avg,0.0021073343199950858,-1.519520867704495e-06
F4_Pts4Rank_Avg,0.0020945816707291552,-6.058402713419316e-06
Def_1,0.002093583951957788,0.00015552328745075934
Winner_RankOff_2_Avg,0.0020935580426927895,6.801238491039759e-06
Hgt2_Seed_Avg,0.0020897908247742777,-5.995332208195256e-07
Winner_Pts5_Avg,0.0020734526141408115,-9.81452107194717e-06
F4_DR3Rank_Avg,0.0020645245024443113,-3.9704281954306765e-06
Winner_RankDef_3_Avg,0.0020518187939405556,1.4456323698172069e-05
R32_OR5_Avg,0.002051731901533633,8.398547449378916e-07
E8_DE_Avg,0.0020411870628691932,-7.751916333576762e-06
Year,0.002037785877105362,-0.0002700379771934993
Winner_DR1Rank_Avg,0.0020344501431647224,-3.960571590054528e-06
Winner_Hgt1Rank_Avg,0.0020259094388017855,3.6981345757344233e-06
Conf_MVC,0.002024486542190641,4.8631909844409865e-05
Winner_RankDef_2_Avg,0.002007372069209489,5.781006828529707e-06
R32_DR1_Avg,0.0020019444334835094,-4.208365453621629e-06
WinStreak_SD,0.0019965635135487784,-5.471567800663619e-05
R32_AdjEM_Avg,0.001980698678544666,-5.784901733122695e-06
NCG_RankDef_3_Avg,0.0019670573638424066,1.4461737611346452e-05
F4_OR4Rank_Avg,0.001964977020107855,-8.599036718219441e-07
E8_Off_2_Avg,0.0019324548171158955,1.3563349277422008e-05
S16_Exp_Avg,0.0019081768366995464,-7.261249816187114e-06
NCG_Def_1_Avg,0.0019073548636360466,-1.823962503739827e-05
F4_AdjEM_Avg,0.0019028992822203732,-7.4742648564855914e-06
R32_Pts2Rank_Avg,0.0019000024149708292,2.1362776329458736e-06
Tempo_Seed_Avg,0.0018977871779914063,1.5089454093154697e-06
WinStreak_Avg,0.0018965696512497703,-5.407689845320577e-05
Winner_AdjEM_Avg,0.0018900283730820659,-6.024136117238334e-06
Conf_CAA,0.0018885660290773735,2.618501045787981e-05
S16_Pts4_Avg,0.0018792094936980806,-5.716445183053212e-06
DR3Rank_Seed_Avg,0.0018718905785821576,2.091174253755585e-06
F4_BenchRank_Avg,0.0018630430905218955,3.5788779120608585e-06
OE,0.0018608898750211318,9.110041471918736e-05
E8_Pts5Rank_Avg,0.0018468339372376308,1.2267424254504387e-06
E8_Pts1_Avg,0.0018315394074252967,-1.1705421085838228e-05
NCG_OR1Rank_Avg,0.0017930164569365233,2.5766749426899843e-06
E8_AdjOE_Avg,0.001781975403981406,-7.613537843385238e-06
S16_Hgt4Rank_Avg,0.0017693467896619977,-4.093531384974194e-07
NCG_Hgt1Rank_Avg,0.0017571477582849846,-7.468718797017936e-06
Off_2_Seed_Avg,0.0017509466290722626,3.18872390154234e-06
NCG_BenchRank_Avg,0.0017421340486062338,4.271507027005617e-06
R32_DR4Rank_Avg,0.0017406415175963428,-6.376291467564778e-06
F4_Hgt3_Avg,0.0017373793619938323,6.440615696049937e-06
Pts3_Seed_Avg,0.0017332360317926173,-1.0044769620916212e-06
S16_AdjEM_Avg,0.001705125645510142,-7.1173856690399785e-06
Winner_Off_2_Avg,0.001696566212713971,8.325890672722578e-06
S16_DR1Rank_Avg,0.0016715494766916933,-4.095651199918716e-06
E8_Pts4Rank_Avg,0.0016706408497656055,-3.6146504854074052e-06
OR4Rank_Seed_Avg,0.0016516590077083357,2.4506976021988394e-06
Conf_Pac-10,0.0016510435331164766,0.00021878866712654596
E8_DR5Rank_Avg,0.001650329845656653,5.823507980980823e-06
Off_3_Seed_Avg,0.0016452849017656213,8.830081592835477e-06
NCG_RankAdjTempo_Avg,0.001634392209327473,-6.641873219173087e-06
R32_Pts5Rank_Avg,0.0016249338056053546,3.4718027869598883e-06
R32_Actual_6,0.0016185139993449779,3.6768107721771496e-05
