model,fit_order,fit_time,fit_time_marginal,pred_time_test,pred_time_test_marginal,pred_time_val,pred_time_val_marginal,roc_auc,score_test,score_val,stack_level,log_loss_score,roc_auc_score
CatBoost_r70_Prune,33.0,2.7247180143992105,2.7247180143992105,0.0033386548360188804,0.0033386548360188804,0.0021483898162841797,0.0021483898162841797,0.6985798550977322,-0.5604625485295226,-0.5604625485295226,1.0,-0.5604625485295227,0.6985798550977322
CatBoost_r198_Prune,79.0,1.5207556088765461,1.5207556088765461,0.002330938975016276,0.002330938975016276,0.001827239990234375,0.001827239990234375,0.7057903280076658,-0.5606331493480067,-0.5606331493480067,1.0,-0.5606331493480067,0.7057903280076658
ExtraTrees_r172_Prune,29.0,0.22474018732706705,0.22474018732706705,0.03177809715270996,0.03177809715270996,0.02797842025756836,0.02797842025756836,0.705019543904136,-0.5608519845994023,-0.5608519845994023,1.0,-0.5608519845994023,0.705019543904136
LightGBMXT_Prune,1.0,1.146403392155965,1.146403392155965,0.004090150197347005,0.004090150197347005,0.0018246173858642578,0.0018246173858642578,0.7148886001150266,-0.5626291988262283,-0.5626291988262283,1.0,-0.5626291988262283,0.7148886001150266
XGBoost_r98_Prune,38.0,2.1949482758839927,2.1949482758839927,0.009907007217407227,0.009907007217407227,0.003448963165283203,0.003448963165283203,0.6918312963885157,-0.5627540750746736,-0.5627540750746736,1.0,-0.5627540750746736,0.6918312963885157
ExtraTrees_r178_Prune,59.0,0.22154037157694498,0.22154037157694498,0.03354541460673014,0.03354541460673014,0.03043961524963379,0.03043961524963379,0.7075803535921827,-0.5630561343561992,-0.5630561343561992,1.0,-0.5630561343561992,0.7075803535921827
LightGBM_r121_Prune,68.0,3.634164730707804,3.634164730707804,0.005012909571329753,0.005012909571329753,0.0024956862131754556,0.0024956862131754556,0.6957551544382975,-0.563276110301647,-0.563276110301647,1.0,-0.5632761103016471,0.6957551544382975
ExtraTrees_r126_Prune,76.0,0.19997930526733398,0.19997930526733398,0.033792575200398765,0.033792575200398765,0.02992399533589681,0.02992399533589681,0.696875938391853,-0.5633626744194392,-0.5633626744194392,1.0,-0.5633626744194392,0.696875938391853
LightGBM_r161_Prune,32.0,3.3163304328918457,3.3163304328918457,0.004889647165934245,0.004889647165934245,0.002379735310872396,0.002379735310872396,0.6953925868267455,-0.563449066553125,-0.563449066553125,1.0,-0.563449066553125,0.6953925868267455
XGBoost_r33_Prune,17.0,1.5127078692118328,1.5127078692118328,0.007495005925496419,0.007495005925496419,0.002789020538330078,0.002789020538330078,0.6948302277827989,-0.5636458639959799,-0.5636458639959799,1.0,-0.5636458639959799,0.6948302277827989
XGBoost_r34_Prune,82.0,1.0282989343007405,1.0282989343007405,0.00500949223836263,0.00500949223836263,0.0026375452677408853,0.0026375452677408853,0.6946098162829242,-0.5639899929679308,-0.5639899929679308,1.0,-0.5639899929679308,0.6946098162829242
NeuralNetTorch_r36_Prune,77.0,0.6360809803009033,0.6360809803009033,0.007610718409220378,0.007610718409220378,0.004825989405314128,0.004825989405314128,0.6719004550039198,-0.5640444873056167,-0.5640444873056167,1.0,-0.5640444873056167,0.6719004550039198
NeuralNetTorch_Prune,9.0,0.5206240018208822,0.5206240018208822,0.0069615840911865234,0.0069615840911865234,0.004690408706665039,0.004690408706665039,0.6731313367860317,-0.5641144551908183,-0.5641144551908183,1.0,-0.5641144551908183,0.6731313367860315
LightGBM_r30_Prune,53.0,2.534618298212687,2.534618298212687,0.008490482966105143,0.008490482966105143,0.003743728001912435,0.003743728001912435,0.7057026331307115,-0.5652696509690459,-0.5652696509690459,1.0,-0.5652696509690459,0.7057026331307115
CatBoost_r60_Prune,63.0,0.9848086833953857,0.9848086833953857,0.002693653106689453,0.002693653106689453,0.0018300215403238933,0.0018300215403238933,0.7034701968405446,-0.565544824894237,-0.565544824894237,1.0,-0.565544824894237,0.7034701968405446
CatBoost_r177_Prune,11.0,1.2445550759633381,1.2445550759633381,0.0027399063110351562,0.0027399063110351562,0.0018243789672851562,0.0018243789672851562,0.6984641590249726,-0.5660217761115979,-0.5660217761115979,1.0,-0.5660217761115979,0.6984641590249726
LightGBM_r15_Prune,39.0,1.5754383405049641,1.5754383405049641,0.0034769376118977866,0.0034769376118977866,0.0018507639567057292,0.0018507639567057292,0.687437045331763,-0.5664798855632218,-0.5664798855632218,1.0,-0.5664798855632219,0.687437045331763
LightGBM_r42_Prune,83.0,1.5439720153808594,1.5439720153808594,0.002220312754313151,0.002220312754313151,0.0015426476796468098,0.0015426476796468098,0.7045819755453016,-0.5670873984751035,-0.5670873984751035,1.0,-0.5670873984751035,0.7045819755453017
