"Season","TeamName","Off_1","RankOff_1","Off_2","RankOff_2","Off_3","RankOff_3","Def_1","RankDef_1","Def_2","RankDef_2","Def_3","RankDef_3"
2019,"Gonzaga",18.5630588960839,192,54.8874498920752,36,26.5494912118409,309,16.9583333333333,267,53.1666666666667,43,29.875,250
2019,"Grambling St.",22.9332087809435,10,48.7622606258758,190,28.3045305931808,267,24.4310264746865,4,48.3975847654436,219,27.1713887598699,317
2019,"Grand Canyon",19.2697768762677,148,50.2231237322515,144,30.4259634888438,215,17.6059414591525,239,51.7256443861948,87,30.6684141546527,221
2019,"Green Bay",18.6541143654114,186,51.3249651324965,114,30.020920502092,232,18.0177111716621,210,50,155,31.9822888283379,178
2019,"Hampton",22.0697765582125,24,46.8051744413955,256,31.046648373187,200,20.1923076923077,95,47.5961538461538,251,32.2115384615385,166
2019,"Hartford",18.498322147651,197,42.1140939597315,338,39.3875838926174,20,17.1197960917587,262,50.6372132540357,120,32.2429906542056,162
2019,"Harvard",17.6305970149254,235,47.1082089552239,245,35.2611940298507,95,19.2125237191651,138,49.0512333965844,196,31.7362428842505,182
2019,"Hawaii",17.2063798936684,260,47.269212179797,238,35.5244079265346,88,17.982017982018,215,53.2467532467532,39,28.7712287712288,287
2019,"High Point",19.1787941787942,156,55.7172557172557,23,25.1039501039501,329,16.8367346938776,275,44.8979591836735,318,38.265306122449,17
2019,"Hofstra",21.3726884779516,50,46.9416785206259,251,31.6856330014225,185,14.4457783113245,344,53.3813525410164,35,32.1728691476591,167
2019,"Holy Cross",12.7707581227437,353,55.14440433213,31,32.0848375451264,179,15.418118466899,326,46.4285714285714,278,38.1533101045296,20
2019,"Houston",17.5816289917474,240,46.5733763903839,265,35.8449946178687,77,23.3392382639504,13,45.704162976085,298,30.9565987599646,206
2019,"Houston Baptist",22.3024830699774,21,52.6410835214447,77,25.0564334085779,330,19.250645994832,135,52.1963824289406,68,28.5529715762274,291
2019,"Howard",20.2794242167655,95,52.1591871295512,89,27.5613886536833,288,20.6290849673203,74,47.3856209150327,253,31.9852941176471,177
2019,"IUPUI",19.7299651567944,121,52.1777003484321,87,28.0923344947735,271,18.3012259194396,192,47.8108581436077,241,33.8879159369527,112
2019,"Idaho",16.9102296450939,272,47.0772442588727,246,36.0125260960334,73,17.9824561403509,214,47.8070175438597,243,34.2105263157895,95
2019,"Idaho St.",16.8740666998507,274,46.0925833748133,278,37.033349925336,56,16.8970129291128,273,50.4681230494873,130,32.6348640213999,149
2019,"Illinois",17.3060884070058,254,50.2919099249374,138,32.4020016680567,164,22.9963753523963,16,51.1478050745066,98,25.8558195730971,338
2019,"Illinois Chicago",15.3084196307969,320,46.7357046375507,258,37.9558757316524,43,23.8031914893617,11,46.0106382978723,285,30.186170212766,238
2019,"Illinois St.",17.4012855831038,249,50.7805325987144,128,31.8181818181818,180,18.5612788632327,174,48.6678507992895,208,32.7708703374778,142
2019,"Incarnate Word",21.2705615428247,53,51.1627906976744,116,27.5666477595008,287,19.5224719101124,116,50.561797752809,127,29.9157303370787,249
2019,"Indiana",18.1709265175719,212,56.5495207667732,15,25.279552715655,325,16.4279696714406,294,50.7160909856782,115,32.8559393428812,140
2019,"Indiana St.",21.2669683257919,54,53.9969834087481,54,24.73604826546,333,20.9971236816874,60,50.8149568552253,113,28.1879194630872,299
