Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3,R32_Actual,S16_Actual,E8_Actual,F4_Actual,NCG_Actual,Winner_Actual,First_Year
2006,Kent State,MAC,1,25,1,East,12,66.6866,185,65.4147,139,106.42,75,107.72,83,96.3275,59,96.7855,66,10.9348,69,22.1519,69,48.6076,256,29.2405,126,23.8095,35,49.2834,255,26.9071,205,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Kansas,Big 12,1,25,1,East,4,69.6002,75,67.4558,73,106.306,77,110.301,52,87.6434,1,86.1782,2,24.1225,5,18.3347,260,56.6863,45,24.979,242,20.0508,173,48.1218,283,31.8274,51,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Bradley,MVC,3,20,0,East,13,69.2825,90,69.0639,35,102.06,159,106.52,103,91.4969,14,90.1637,6,16.3566,28,20.2628,166,56.2103,51,23.5269,281,22.4395,69,52.1415,152,25.419,246,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Indiana,Big Ten,2,18,0,East,6,67.625,144,65.9344,119,104.993,105,109.123,71,97.5889,77,92.5182,20,16.6049,24,16.1811,328,46.7055,293,37.1134,14,19.8656,183,55.0864,61,25.048,260,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,San Diego State,MWC,1,24,1,East,11,67.039,168,65.6456,131,109.765,33,111.97,34,98.8133,100,98.9596,98,13.0107,53,22.3381,61,49.8914,231,27.7705,168,16.4515,303,57.5801,16,25.9684,229,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Gonzaga,WCC,3,27,1,East,3,68.9291,98,65.6245,133,114.047,4,117.976,4,103.127,200,103.276,174,14.6999,45,25.3227,5,54.9734,74,19.7039,321,18.2764,252,51.1241,191,30.5995,81,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Xavier,A-10,1,21,1,East,14,65.1511,244,65.1414,149,109.046,39,110.467,48,96.1969,56,97.4771,78,12.9902,54,22.5328,49,48.9083,249,28.559,139,20.3448,165,50.5419,209,29.1133,129,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Marquette,Big East,1,20,0,East,7,68.767,107,67.6202,68,106.97,64,111.896,35,100.239,134,96.3234,56,15.573,35,17.6576,298,48.2789,265,34.0635,40,19.763,188,49.0995,264,31.1374,69,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Alabama,SEC,2,17,0,East,10,65.0446,249,63.0621,245,106.389,76,110.562,46,102.675,187,99.5129,108,11.0491,68,22.4059,55,53.6272,118,23.9669,268,14.2857,331,50.8571,204,34.8571,9,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,UCLA,Pac-10,6,27,1,East,2,62.68,305,61.1732,299,109.271,37,113.948,20,93.6469,28,91.7094,15,22.2382,11,19.9849,177,53.2173,125,26.7979,192,19.493,200,57.4301,17,23.0769,304,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Belmont,A-Sun,1,20,1,East,15,72.0542,27,68.5983,46,111.838,13,107.963,77,103.538,212,107.635,257,0.328042,154,17.7671,289,50.9004,212,31.3325,75,21.3073,122,53.7351,98,24.9576,264,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Connecticut,Big East,4,27,0,South,1,71.3986,38,68.0475,53,112.754,9,116.671,8,91.2531,13,90.7579,9,25.9129,3,22.1863,66,57.5333,28,20.2805,312,17.0465,290,55.4777,55,27.4759,184,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Albany,AEC,1,21,1,South,16,64.2934,270,63.6591,227,106.186,83,105.901,114,99.0265,109,103.517,180,2.38435,139,22.1057,74,47.402,282,30.4923,92,20.3874,164,49.1041,263,30.5085,85,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Kentucky,SEC,2,21,0,South,8,65.6973,224,63.6485,228,107.655,58,113.522,22,99.9808,128,97.5788,82,15.943,30,16.3908,324,51.5139,191,32.0953,64,18.4801,242,51.9862,161,29.5337,113,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,UAB,CUSA,1,24,0,South,9,70.3871,55,68.322,49,105.076,103,108.932,72,93.2234,26,96.3991,57,12.5331,58,19.3388,203,51.9928,171,28.6685,137,21.7701,101,48.0163,286,30.2136,94,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Washington,Pac-10,3,24,0,South,5,72.5511,23,70.9977,13,112.184,11,114.83,15,94.9946,42,96.082,52,18.7484,17,19.2905,205,56.3193,49,24.3902,256,20.9454,137,54.7268,65,24.3278,277,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Utah State,WAC,1,23,0,South,12,63.2268,297,60.7302,305,111.302,19,113.98,19,99.9995,129,102.232,154,11.7478,64,16.7347,320,52.7891,139,30.4762,93,15.0623,327,53.6658,102,31.2718,66,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Illinois,Big Ten,2,25,0,South,4,63.6391,287,61.3569,292,109.847,32,114.309,17,91.8029,16,90.5453,8,23.7637,7,16.1835,327,52.5314,151,31.2852,78,22.0444,91,51.6262,173,26.3294,218,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Air Force,MWC,1,24,0,South,13,57.1241,331,53.9138,333,111.423,16,112.446,29,95.4904,46,97.1596,70,15.2867,40,17.4312,303,40.4749,331,42.0939,5,18.3686,249,54.5455,71,27.0859,196,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Michigan State,Big Ten,1,22,0,South,6,65.3573,234,63.6938,225,110.481,28,116.81,7,102.515,182,99.7762,114,17.0338,21,20.979,124,54.71,81,24.311,260,18.7031,236,50.9925,199,30.3044,92,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,George Mason,CAA,5,23,0,South,11,64.4385,267,62.191,269,106.795,69,108.235,75,90.3846,8,91.7303,16,16.5044,25,17.6616,297,56.8958,39,25.4426,233,17.2299,283,51.4993,176,31.2708,67,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,North Carolina,ACC,2,22,0,South,3,72.6832,19,69.944,20,111.055,22,116.376,10,95.8492,50,93.1032,25,23.2731,8,21.0976,116,52.6829,142,26.2195,212,17.3872,279,54.4173,76,28.1955,159,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Murray State,OVC,1,24,1,South,14,64.67,258,62.8848,250,108.684,43,104.196,144,94.02,35,95.9061,51,8.28998,91,16.5021,323,52.1862,162,31.3117,76,22.7568,55,51.4595,178,25.7838,234,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Wichita State,MVC,3,24,0,South,7,63.5303,291,61.8931,277,106.11,84,111.041,44,95.7742,48,95.5888,47,15.4525,36,21.0346,121,49.3373,240,29.628,117,16.5877,300,50.9953,198,32.4171,35,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Seton Hall,Big East,1,18,0,South,10,66.5609,189,65.0036,158,100.942,178,106.434,104,98.9879,107,96.6752,64,9.75889,79,23.3645,25,50.9592,210,25.6763,228,21.0134,133,49.4784,250,29.5082,114,0.0,0.0,0.0,0.0,0.0,0.0,1
2006,Tennessee,SEC,2,21,0,South,2,73.2339,15,71.1471,11,111.341,17,116.081,12,100.757,147,96.9371,68,19.1437,16,17.8173,285,48.6978,255,33.4849,46,17.8231,269,53.6054,103,28.5714,144,0.0,0.0,0.0,0.0,0.0,0.0,1
