Feature,Importance,Importance_Normalized,Baseline_Loss
Conf_WAC,0.05264814508574381,0.07136951694405658,0.4056136431417652
R32_DE_Avg,0.051978674989009425,0.07046198720422228,0.4056136431417652
R32_Hgt2_Avg,0.05174027643542343,0.07013881552206928,0.4056136431417652
AdjDE_Seed_Avg,0.05002419779917507,0.0678125093795149,0.4056136431417652
Def_2_Seed_Avg,0.04978900948929746,0.06749368948491999,0.4056136431417652
Conf_Southern,0.049046788065714,0.06648753847275403,0.4056136431417652
DR2Rank_Seed_Avg,0.047839880040346255,0.06485146102641441,0.4056136431417652
Pts3,0.04741686980110903,0.06427803082507337,0.4056136431417652
R32_Actual_Full,0.04590145879774487,0.0622237485496833,0.4056136431417652
S16_HgtEffRank_Avg,0.042475044219190204,0.05757892102682843,0.4056136431417652
AdjEM,0.04213566345030524,0.05711885844540272,0.4056136431417652
OR4_Seed_Avg,0.04192951287097968,0.05683940192817422,0.4056136431417652
OR4Rank_Seed_Avg,0.04153722191012444,0.056307614600583464,0.4056136431417652
S16_DR1_Avg,0.041044806328791976,0.05564009892423457,0.4056136431417652
R32_DR1_Avg,0.03917021691236418,0.05309891649699042,0.4056136431417652
R32_Def_3_Avg,0.03875945235141868,0.05254208646537823,0.4056136431417652
S16_Def_1_Avg,0.03815087792564308,0.051717106540228465,0.4056136431417652
R32_Pts1Rank_Avg,0.037718153869867,0.051130508346113275,0.4056136431417652
R32_AdjOE_Avg,0.03754494659159352,0.05089570957473319,0.4056136431417652
Pts2_Seed_Avg,0.036738246238312226,0.04980215130333502,0.4056136431417652
OR3,0.035182169310505274,0.047692742539085016,0.4056136431417652
Conf_Big West,0.03418756540154272,0.046344463308777444,0.4056136431417652
Conf_Big Sky,0.03387888391696378,0.045926016497249825,0.4056136431417652
Hgt4Rank_Seed_Avg,0.03292721096842251,0.04463593422530083,0.4056136431417652
RankDef_1_Seed_Avg,0.03260066301305532,0.044193267730675626,0.4056136431417652
Conf_Big Ten,0.03241811230232751,0.043945803057015814,0.4056136431417652
OR4,0.03176068167789899,0.04305459395528436,0.4056136431417652
S16_DR5_Avg,0.03144181500327597,0.0426223401598213,0.4056136431417652
Pts5_Seed_Avg,0.031226257272013117,0.04233013136255539,0.4056136431417652
S16_Def_2_Avg,0.03116412475088912,0.042245904881035204,0.4056136431417652
S16_DR5Rank_Avg,0.030816477367797614,0.04177463612583599,0.4056136431417652
