Feature,Importance,SHAP
WinStreak_Avg,3.2492891861072136e-05,-1.2661247367577766e-06
S16_Pts3Rank_Avg,3.1834860548551696e-05,-5.619598042648137e-08
RankOff_2_Seed_Avg,3.145418223962175e-05,-4.5480577484619574e-08
R32_Pts5Rank_Avg,3.141505292908332e-05,-1.4425205785821101e-08
Hgt4_Seed_Avg,3.1152043459037654e-05,-6.036739986002899e-11
RankDef_2_Seed_Avg,3.097556467714974e-05,-1.5280275801918275e-08
E8_OR2Rank_Avg,3.084779302393373e-05,7.602387620480745e-08
Winner_DR3Rank_Avg,3.083389759164468e-05,2.2719597905516296e-08
DR4Rank,3.080458026149024e-05,1.7624947284874152e-07
E8_RankAdjTempo_Avg,3.0790940564620256e-05,-4.65286562030376e-08
OR1Rank_Seed_Avg,3.069593464199478e-05,3.63450308405749e-08
DR5Rank_Seed_Avg,3.0344290497020152e-05,-9.314098666003866e-08
E8_BenchRank_Avg,3.0252566508823248e-05,-7.632694501033701e-09
DR2Rank_Seed_Avg,3.013891266549269e-05,-9.471605584944996e-08
S16_DR4Rank_Avg,2.9619801676818705e-05,-2.1367451958556014e-07
E8_OR1Rank_Avg,2.9343730925905152e-05,3.263381936717913e-07
RankOff_3,2.933693728913379e-05,-2.2358825272232266e-07
Conf_WAC,2.917801211298786e-05,5.139622962336187e-07
Winner_Pts2Rank_Avg,2.899081876826958e-05,3.5068595992161555e-08
DR2Rank,2.8980970425434502e-05,-1.0670386840426702e-06
F4_Pts2Rank_Avg,2.8948773438313556e-05,7.957259180136998e-09
DR1Rank_Seed_Avg,2.8807507934791575e-05,-2.8054546150194373e-08
R32_OR1_Avg,2.846083341118614e-05,2.923983190957251e-07
RankOff_1,2.835768819363784e-05,8.765920330688966e-07
Pts5_Seed_Avg,2.8334808008881005e-05,-4.495771486296014e-08
R32_OR5Rank_Avg,2.7088129015892342e-05,-1.4348915505043439e-08
NCG_BenchRank_Avg,2.6942316198371493e-05,9.797232339267466e-09
S16_DR1Rank_Avg,2.69041272715883e-05,2.5935472053602084e-07
E8_Pts2Rank_Avg,2.6713873177906018e-05,1.116289038991552e-08
RankDE_Seed_Avg,2.650905469457144e-05,1.2977810721869737e-07
Off_3_Seed_Avg,2.6263204659233963e-05,-1.3178356608300514e-08
F4_Hgt2Rank_Avg,2.6186699315771625e-05,-2.414462490837126e-07
NCG_DR3Rank_Avg,2.606929849490125e-05,2.1782776044835418e-08
OR4Rank_Seed_Avg,2.570792936456291e-05,4.047078540531135e-08
Winner_RankDef_2_Avg,2.5516355908803684e-05,1.0897023300278647e-07
F4_BenchRank_Avg,2.5460093910514964e-05,1.60253630585493e-08
NCG_OR3Rank_Avg,2.5201491645983932e-05,5.396198275488615e-09
OE,2.5147380514575142e-05,6.498006909386181e-07
OR4_Seed_Avg,2.484163359185702e-05,4.485240449473808e-08
R32_Exp_Avg,2.4754220821669985e-05,-1.4742781908485726e-07
Winner_Hgt5Rank_Avg,2.4440383692957028e-05,1.0339601839035781e-07
R32_RankDE_Avg,2.4417936806727563e-05,-1.7812924074275146e-07
Winner_RankDef_3_Avg,2.4375277223448763e-05,4.90813962394971e-08
NCG_Hgt4Rank_Avg,2.406564645589082e-05,1.5292102761698754e-08
NCG_Pts2Rank_Avg,2.4037507953846086e-05,2.900762401821851e-08
OR4Rank,2.3975467261159544e-05,1.7490032628548425e-07
R32_RankOff_3_Avg,2.371289209309985e-05,2.761357792270251e-08
E8_OR4_Avg,2.3358649769282e-05,-1.6317416075971208e-07
S16_DR2Rank_Avg,2.3356486540294444e-05,-9.55854340223936e-08
F4_OE_Avg,2.315037013881218e-05,-1.9682974363751222e-08
E8_OE_Avg,2.2913281424428716e-05,-1.4746259718608262e-08
Pts1Rank,2.259995021960172e-05,9.184422818394895e-07
S16_RankDef_2_Avg,2.2423921850061908e-05,4.8268979194245775e-08
Hgt5Rank_Seed_Avg,2.234095726182494e-05,-5.3728687093730086e-08
Year,2.2152128534906288e-05,5.281317427557977e-06
RankDef_2,2.215114885302143e-05,1.2696267137242148e-06
F4_DR1Rank_Avg,2.201784662600559e-05,1.5254952993925044e-07
F4_DR3Rank_Avg,2.187077507074026e-05,1.540573698707436e-08
Winner_Hgt4Rank_Avg,2.173586449940526e-05,4.926925024392404e-09
S16_OR1Rank_Avg,2.1481652419304206e-05,3.0866316798349177e-07
Conf_Horizon,2.143238472218891e-05,-9.718368688731187e-07
RankAdjDE_Seed_Avg,2.1378976412698278e-05,1.146981341502554e-07
Size_Seed_Avg,2.1192050480582218e-05,-5.5480255599895444e-08
Def_2_Seed_Avg,2.102972827510099e-05,-1.6270073456151449e-09
Off_2_Seed_Avg,2.097351232389032e-05,-2.4758633689755137e-08
E8_RankTempo_Avg,2.0969422302180664e-05,-2.594090035978691e-08
