mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__max_iter,param_clf__solver,param_smote__k_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8565310478210448,0.6043427635020251,0.0010591506958007812,0.00041562529952058464,tanh,0.0001,"(40,)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (40,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.5278985637461592,-0.5066784228445982,-0.5053837481336128,-0.5412063655301746,-0.5156775407290256,-0.5193689281967141,0.0135638407600888,310
3.1209625720977785,0.640077807232465,0.0011356353759765625,0.0005168099048686544,tanh,0.0001,"(60,)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (60,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.5257349974713615,-0.5624189917782623,-0.5636126730524512,-0.5424558657703257,-0.5598324262324872,-0.5508109908609775,0.014687604352963816,392
2.472741794586182,0.9451261771450236,0.0008797645568847656,1.5535673673291122e-05,tanh,0.0001,"(60,)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (60,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.5047307567367495,-0.5573567521964568,-0.5252943786394527,-0.5080077081410005,-0.5671113180710138,-0.5325001827569347,0.02545083762595453,349
2.2114992141723633,0.34912160193057984,0.0012184619903564454,0.0004383102253870455,tanh,0.0001,"(60,)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (60,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.5484907447757442,-0.5306735816295071,-0.5207327138935288,-0.5212049374013202,-0.5273356316995561,-0.5296875218799313,0.010121340998405427,341
2.9117667198181154,0.89686779922897,0.0010944366455078124,0.00046851357322876853,tanh,0.0001,"(80,)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.5250118829266123,-0.5385027061979523,-0.5402236234522929,-0.543114017153965,-0.6070929929458241,-0.5507890445353293,0.028830833997373836,391
2.6347880363464355,1.0436177382479361,0.001322174072265625,0.0005901753733581057,tanh,0.0001,"(80,)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.5161439774532258,-0.5496467048426998,-0.524022047603334,-0.5519611901675555,-0.6399263105360655,-0.5563400461205761,0.04406998016865072,398
2.0851577281951905,0.5230651592700174,0.0011179447174072266,0.0005636227110706552,tanh,0.0001,"(80,)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (80,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.5124447668200448,-0.5347586027701251,-0.5374834329953984,-0.544108648201498,-0.518863294630608,-0.5295317490835348,0.011906436475096007,339
3.4875408172607423,1.1528409718729327,0.0019053936004638672,0.002057372476533728,tanh,0.0001,"(120,)",constant,10000,adam,3,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (120,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 3}",-0.5601407753114435,-0.5426849328768127,-0.5622633401898481,-0.5469028389890892,-0.5138377905346107,-0.5451659355803609,0.017361981161295822,382
3.0846415042877195,1.1773488687716258,0.00142059326171875,0.0006583997435821678,tanh,0.0001,"(120,)",constant,10000,adam,4,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (120,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 4}",-0.543310330018929,-0.5224938589728517,-0.5292196002363221,-0.5516810389281617,-0.6825624003172148,-0.5658534456946959,0.059248834015135574,406
2.614173412322998,1.0555767531674658,0.001097249984741211,0.0004024870966648645,tanh,0.0001,"(120,)",constant,10000,adam,5,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (120,), 'clf__learning_rate': 'constant', 'clf__max_iter': 10000, 'clf__solver': 'adam', 'smote__k_neighbors': 5}",-0.5908024313695485,-0.4760822158330946,-0.5480063756358723,-0.5528818960704992,-0.5219726541863187,-0.5379491146190667,0.03794830696069598,364
