Feature,Importance,Importance_Normalized,Baseline_Loss
R32_DR5Rank_Avg,0.00012036435143564228,0.09038635597657675,0.33236006234005644
DR1Rank,0.00012005742179121981,0.09015587035712516,0.33236006234005644
RankAdjOE_Seed_Avg,0.00011647498554534508,0.08746567717350502,0.33236006234005644
OR4,0.00011376118764083731,0.08542777890446078,0.33236006234005644
E8_Pts4Rank_Avg,0.00011337784164322517,0.08513990922054616,0.33236006234005644
R32_Hgt4Rank_Avg,0.00011191849672625986,0.08404402935591729,0.33236006234005644
E8_Pts3Rank_Avg,0.00010814746656973018,0.08121221353951463,0.33236006234005644
S16_DR4Rank_Avg,0.00010789613262712772,0.08102347693325121,0.33236006234005644
E8_RankDef_3_Avg,0.00010770738452375861,0.08088173851105611,0.33236006234005644
E8_Pts1Rank_Avg,0.00010629876122369986,0.07982394751631887,0.33236006234005644
RankOff_1_Seed_Avg,0.00010342042314270827,0.07766248951562048,0.33236006234005644
E8_Bench_Avg,9.644444110512573e-05,0.07242394846742414,0.33236006234005644
S16_Hgt2Rank_Avg,9.359407256820385e-05,0.07028349390450972,0.33236006234005644
Size,9.103530343335109e-05,0.06836201287523387,0.33236006234005644
S16_Hgt4Rank_Avg,9.073945473353495e-05,0.06813984837571353,0.33236006234005644
DR4,8.144272637033989e-05,0.06115856704755729,0.33236006234005644
S16_AdjTempo_Avg,7.847991107140517e-05,0.05893367175997249,0.33236006234005644
DR5_Seed_Avg,7.621079151093335e-05,0.05722970006154247,0.33236006234005644
R32_OR2_Avg,7.53846112150347e-05,0.0566092885739613,0.33236006234005644
S16_Size_Avg,7.480332952070068e-05,0.05617278114032274,0.33236006234005644
S16_Pts1_Avg,6.905838297449618e-05,0.051858673371717415,0.33236006234005644
S16_Hgt2_Avg,6.867762782958309e-05,0.05157274926165042,0.33236006234005644
AdjDE,6.836114958003181e-05,0.051335093216637116,0.33236006234005644
R32_Bench_Avg,6.655566778640543e-05,0.04997928546989576,0.33236006234005644
Hgt3Rank,6.398815097241606e-05,0.04805123546208947,0.33236006234005644
Pts1Rank_Seed_Avg,6.254288717427725e-05,0.0469659296669722,0.33236006234005644
Region_West,6.252118026978115e-05,0.046949629093143395,0.33236006234005644
S16_DR3Rank_Avg,5.989286425323037e-05,0.044975922557467664,0.33236006234005644
Hgt2Rank_Seed_Avg,5.9029473720939585e-05,0.0443275684304555,0.33236006234005644
OR1,5.8402582806427183e-05,0.0438568112279968,0.33236006234005644
Pts2Rank_Seed_Avg,5.7704441622452585e-05,0.043332549377839466,0.33236006234005644
Hgt4Rank,5.603128182862793e-05,0.04207610745856246,0.33236006234005644
S16_OR4_Avg,5.586702013460343e-05,0.0419527568504104,0.33236006234005644
Conf_ACC,5.3950961637294625e-05,0.04051391267982307,0.33236006234005644
R32_Pts2Rank_Avg,5.385596423868044e-05,0.0404425753728416,0.33236006234005644
DR5Rank_Seed_Avg,5.305391690774153e-05,0.03984028628392419,0.33236006234005644
E8_RankOff_3_Avg,5.186288283959284e-05,0.038945891656446144,0.33236006234005644
Pts3Rank_Seed_Avg,5.181860987840681e-05,0.038912645337397626,0.33236006234005644
S16_OR5Rank_Avg,5.112787750727321e-05,0.038393947058071885,0.33236006234005644
RankOE_Seed_Avg,5.007119947231242e-05,0.037600445694242715,0.33236006234005644
E8_DR5_Avg,4.883542830036447e-05,0.036672456204655327,0.33236006234005644
Region_South,4.780043035429449e-05,0.03589523527775549,0.33236006234005644
Hgt1Rank,4.498255000912055e-05,0.03377917738403207,0.33236006234005644
Def_1,4.279080651570233e-05,0.03213331043719467,0.33236006234005644
S16_RankDE_Avg,4.2012430418125746e-05,0.03154879701440741,0.33236006234005644
Tempo,4.09858742081437e-05,0.03077791532129236,0.33236006234005644
DR2Rank_Seed_Avg,3.922731903416299e-05,0.02945734663077887,0.33236006234005644
Bench,3.8944421895559245e-05,0.029244907971245487,0.33236006234005644
RankDef_2,3.752818667968061e-05,0.02818140088761022,0.33236006234005644
S16_Tempo_Avg,3.6598111157581936e-05,0.027482970362103166,0.33236006234005644
S16_DR5_Avg,3.5726877435970916e-05,0.026828726473766867,0.33236006234005644
RankAdjTempo,3.3235069825166e-05,0.02495752950349297,0.33236006234005644
S16_DR1_Avg,3.3012253177644446e-05,0.02479020766292991,0.33236006234005644
R32_DR1Rank_Avg,3.195284548374033e-05,0.02399465649014981,0.33236006234005644
Hgt2Rank,3.1647047211480483e-05,0.023765020462839185,0.33236006234005644
Conf_Big Ten,3.008513226232523e-05,0.02259211670092286,0.33236006234005644
E8_Pts1_Avg,2.7332954260828046e-05,0.020525397297817553,0.33236006234005644
S16_Def_2_Avg,2.524436264800256e-05,0.018956991181265044,0.33236006234005644
E8_DR4Rank_Avg,2.4381888503843818e-05,0.018309325206375397,0.33236006234005644
OR2,2.426922610004878e-05,0.018224722547754833,0.33236006234005644
E8_OR2Rank_Avg,2.24226275142847e-05,0.01683803857423665,0.33236006234005644
S16_DR3_Avg,2.1070868693129352e-05,0.015822949367622567,0.33236006234005644
R32_RankAdjTempo_Avg,2.0740975009092555e-05,0.01557521914181964,0.33236006234005644
DR2_Seed_Avg,2.0622807615722216e-05,0.015486482568618343,0.33236006234005644
